fiscal_year|category|sub_category|Line Item|Comprehensive Health Insurance Pool|Utah Schools for the Deaf and the Blind|Military Installation Development Authority|Heber Valley Historic Railroad Authority|Utah State Fair Corporation|Weber State University|Southern Utah University|Salt Lake Community College|Utah Valley University|Utah Tech University|Snow College|Technical Colleges|Total Nonmajor Component Units
2012|Expenses|NA|Expenses|34,171|27,847|17,417|1,915|4,126|198,671|112,145|203,146|279,702|85,122|42,708|84,285|1,091,255
2012|Program Revenues|Charges for Services:|Tuition and Fees|NA|NA|NA|NA|NA|101,883|44,964|79,572|138,676|33,322|11,138|13,720|423,275
2012|Program Revenues|Charges for Services:|Scholarship Allowances|NA|NA|NA|NA|NA|-23,742|-12,705|-21,645|-30,999|-7,947|-3,756|-2,547|-103,341
2012|Program Revenues|Charges for Services:|Sales, Services, and Other Revenues|22,683|5,100|9,130|1,799|3,513|21,845|20,988|18,566|24,030|9,395|6,424|7,923|151,396
2012|Program Revenues|NA|Operating Grants and Contributions|851|767|NA|NA|NA|43,728|26,240|54,330|88,699|24,819|7,753|17,559|264,746
2012|Program Revenues|NA|Capital Grants and Contributions|NA|NA|NA|NA|NA|4,408|4,863|8,916|48,959|35,559|277|2,576|105,558
2012|Program Revenues|NA|Total Program Revenues|23,534|5,867|9,130|1,799|3,513|148,122|84,350|139,739|269,365|95,148|21,836|39,231|841,634
2012|Expenses|NA|Net (Expenses) Revenues|-10,637|-21,980|-8,287|-116|-613|-50,549|-27,795|-63,407|-10,337|10,026|-20,872|-45,054|-249,621
2012|General Revenues|NA|State Appropriations|8,075|22,747|NA|NA|675|61,491|29,886|64,714|64,588|21,516|20,296|43,170|337,158
2012|General Revenues|NA|Unrestricted Investment Income|158|NA|22|NA|NA|2,360|429|2,134|2,096|3,884|NA|68|11,151
2012|General Revenues|NA|Permanent Endowments Contributions|NA|NA|NA|NA|NA|1,046|4,371|NA|805|564|67|NA|6,853
2012|General Revenues|NA|Total General Revenues|8,233|22,747|22|0|675|64,897|34,686|66,848|67,489|25,964|20,363|43,238|355,162
2012|Net Position|NA|Change in Net Assets|-2,404|767|-8,265|-116|62|14,348|6,891|3,441|57,152|35,990|-509|-1,816|105,541
2012|Net Position|NA|Net Assets - Beginning|22,777|14,433|9,376|1,788|1,708|360,372|165,694|266,171|325,751|125,635|110,035|162,369|1,566,109
2012|Net Position|NA|Net Assets - Ending|20,373|15,200|1,111|1,672|1,770|374,720|172,585|269,612|382,903|161,625|109,526|160,553|1,671,650
